ID	 m/z	        RT
961	264.19581	3.99
964	292.20598	18.68
965	311.13095	4.27
966	640.38439	32.71
967	333.07575	14.23
970	358.23767	15.43
973	250.08626	32.22
975	258.07608	10.69
977	196.09682	4.61
978	326.15981	22.78
980	238.10738	6.89
981	325.12166	15.98
982	259.02056	10.27
984	314.10547	8.81
987	446.18565	17.61
989	246.01954	4.21
992	447.27412	25.56
993	206.0924	3.87
994	204.10191	9.7
995	284.12214	5.98
996	304.19127	3.47
1001	461.21699	13.73
1002	459.27412	28.83
1004	190.08626	0.58
1005	180.17468	5.02
1006	310.0856	5.55
1012	340.23834	4.46
1014	261.0321	5.55
1016	212.08184	0.95
1019	363.2067	13.22
1020	327.15256	10.09
1022	309.21727	7.39
1024	312.23219	10.31
1025	293.18597	3.33
1027	328.01379	21.56
1028	393.25366	32.22
1029	313.21621	26.36
1030	306.08915	3.28
1031	251.1754	3.94
1032	431.06832	24.25
1034	292.22711	14.58
1041	466.19034	10.26
1043	247.95347	2.68
1044	265.11231	0.51
1045	256.01513	3.79
1047	474.17336	9.06
1050	297.19614	5.69
1051	217.97929	0.86
1056	264.06083	4.78
1058	205.0794	3.28
1059	426.07299	29.21
1060	406.19322	25.69
1064	376.23948	3.43
1065	334.15615	3.46
1066	476.30788	3.65
1067	346.12199	4.78
1068	304.1092	6.6
1069	311.20056	17.77
1070	326.23259	5.55
1072	501.30581	18.38
1081	449.26864	31.55
1084	435.21774	20.46
1085	473.17351	7.3
1087	417.22717	14.46
1088	397.23734	28.92
1091	415.26903	35.22
1092	836.66236	28.94
1093	318.20692	7.05
1094	214.155	3.54
1096	256.92986	4.15
1098	256.17014	6.36
1099	398.20743	10.96
1101	340.10607	7.7
1102	390.15721	4.48
1104	172.13321	31.62
1104.1	172.13321	3.23
1105	552.40071	13.21
1108	394.19253	4.54
1109	383.17878	6.73
1111	587.28641	5.99
1112	408.12536	27.22
1112.1	408.12536	4.64
1115	448.15531	14.05
1119	254.04816	1.63
1120	1255.63575	31.19
1122	234.14886	4.05
1123	306.13494	10.6
1129	420.0969	10.73
1131	473.12943	27.09
1132	310.19139	10.52
1133	452.19285	8.58
1137	220.04835	4.11
1139	206.14002	3.34
1140	264.17468	11.56
1142	325.22799	9.02
1146	195.10157	25.68
1147	300.10125	3.32
1148	227.11789	3.44
1150	212.06658	3.25
1151	453.27478	19.3
1152	411.21908	4.88
1158	373.28496	22.37
1160	311.08085	5.08
1169	179.11789	3.44
1175	177.05462	5.4
1185	362.21146	32.22
1187	194.11756	18.32
