ID	m/z	         RT
1	141.95801	0.45
2	153.94766	0.49
3	198.93967	0.49
4	232.92681	0.49
5	110.00795	0.49
6	125.98552	0.49
7	149.95178	0.49
8	157.16943	0.49
9	172.02709	0.49
10	214.91708	0.49
11	216.94974	0.49
12	238.88416	0.49
13	344.87356	0.49
14	102.96968	0.5
15	151.94873	0.5
16	122.07099	0.51
17	144.04716	0.51
18	282.90437	0.51
19	350.89018	0.51
20	101.11985	0.51
21	187.21641	0.51
22	188.16408	0.51
23	247.23741	0.51
24	265.11137	0.51
25	301.13949	0.51
26	220.93414	0.52
27	288.92156	0.52
28	133.05945	0.52
29	158.96326	0.52
30	226.95129	0.52
31	242.92439	0.52
32	272.94348	0.52
33	362.92484	0.52
34	424.89514	0.52
35	430.91272	0.52
36	351.05546	0.53
37	277.05446	0.53
38	299.04263	0.53
39	345.03905	0.53
40	419.04202	0.53
41	104.10693	0.53
42	263.08197	0.54
43	283.06949	0.54
44	162.11199	0.54
45	239.10599	0.54
46	241.10282	0.54
47	261.0874	0.54
48	367.12046	0.54
49	499.18374	0.54
50	114.06594	0.55
51	365.1048	0.55
52	130.10794	0.55
53	249.05742	0.55
54	183.08569	0.56
55	343.12224	0.56
56	345.1379	0.56
57	477.20295	0.56
58	118.12177	0.57
59	119.05995	0.57
60	137.07134	0.57
61	139.04162	0.57
62	210.07855	0.57
63	300.09285	0.57
64	352.16313	0.57
65	307.08394	0.57
66	320.29019	0.57
67	355.0654	0.57
68	101.00309	0.58
69	102.12714	0.58
70	102.99837	0.58
71	107.04857	0.58
72	115.06094	0.58
73	136.07523	0.58
74	138.07431	0.58
75	138.09003	0.58
76	150.05419	0.58
77	152.10575	0.58
78	165.1124	0.58
79	166.12283	0.58
80	171.1491	0.58
81	179.01632	0.58
82	185.16446	0.58
83	187.14336	0.58
84	188.06978	0.58
85	199.17995	0.58
86	225.00971	0.58
87	227.00659	0.58
88	242.98312	0.58
89	243.27876	0.58
90	250.15421	0.58
91	255.11559	0.58
92	303.30015	0.58
93	323.15869	0.58
94	325.17372	0.58
95	114.12732	0.58
96	128.14287	0.58
97	129.15123	0.58
98	135.07959	0.58
99	137.9999	0.58
100	138.01739	0.58
101	146.0064	0.58
102	146.15306	0.58
103	146.99538	0.58
104	154.12186	0.58
105	156.14001	0.58
106	156.17354	0.58
107	162.97296	0.58
108	167.08374	0.58
109	190.08636	0.58
110	194.98913	0.58
111	198.22084	0.58
112	204.10121	0.58
113	209.96324	0.58
114	215.05888	0.58
115	217.13307	0.58
116	240.9874	0.58
117	247.11866	0.58
118	256.95895	0.58
119	273.12676	0.58
120	275.98441	0.58
121	278.18613	0.58
122	292.11019	0.58
123	293.18525	0.58
124	307.16387	0.58
125	320.14694	0.58
126	334.15514	0.58
127	339.19128	0.58
128	350.09578	0.58
129	364.11174	0.58
130	395.1946	0.58
131	439.32945	0.58
132	495.39189	0.58
133	511.22323	0.58
134	122.07073	0.59
135	137.00168	0.59
136	142.15792	0.59
137	168.10104	0.59
138	176.00843	0.59
139	178.94517	0.59
140	205.07998	0.59
141	277.05484	0.59
142	304.18169	0.59
143	305.16897	0.59
144	106.99975	0.59
145	129.01283	0.59
146	144.98761	0.59
147	206.1154	0.59
148	207.07501	0.59
149	237.15933	0.59
150	265.1115	0.59
151	214.98042	0.6
152	216.97768	0.6
153	230.95842	0.6
154	232.95529	0.6
155	261.05489	0.6
156	261.08536	0.6
157	288.08539	0.6
158	293.27097	0.6
159	295.26814	0.6
160	308.97172	0.6
161	310.96816	0.6
162	152.94356	0.6
163	274.99129	0.6
164	157.03415	0.6
165	212.08115	0.6
166	217.97875	0.6
167	241.10255	0.6
168	290.97007	0.6
169	297.21949	0.6
170	337.22001	0.6
171	339.21702	0.6
172	353.28167	0.6
173	124.03847	0.61
174	140.03677	0.61
175	182.04753	0.61
176	256.13058	0.61
177	241.99934	0.61
178	257.97687	0.62
179	136.07472	0.62
180	254.04729	0.62
181	114.06555	0.63
182	139.04136	0.63
183	119.05974	0.63
184	130.10773	0.63
185	137.00152	0.63
186	137.07198	0.63
187	261.0533	0.63
188	162.11158	0.64
189	243.04211	0.64
190	246.93071	0.64
191	304.16531	0.64
192	104.10634	0.64
193	129.0125	0.64
194	168.91626	0.64
195	171.1487	0.64
196	185.164	0.64
197	248.9275	0.64
198	304.1885	0.64
199	362.16423	0.64
200	129.15058	0.65
201	166.12232	0.65
202	247.11781	0.65
203	273.12609	0.65
204	106.99926	0.66
205	190.08577	0.66
206	205.07807	0.66
207	156.1732	0.67
208	255.11499	0.68
209	194.98925	0.68
210	278.18575	0.68
211	288.08487	0.68
212	166.99388	0.69
213	240.98715	0.69
214	162.9724	0.71
215	217.01354	0.72
216	264.96683	0.72
217	101.00218	0.73
218	178.94514	0.73
219	195.94783	0.75
220	256.95908	0.76
221	273.96101	0.76
222	223.94299	0.78
223	150.94977	0.78
224	190.08555	0.78
225	278.18526	0.8
226	239.10479	0.81
227	137.0011	0.82
228	212.93302	0.83
229	166.12209	0.83
230	187.14329	0.85
231	217.97866	0.86
232	288.08558	0.86
233	171.14894	0.86
234	185.16416	0.86
235	215.05847	0.9
236	212.08178	0.91
237	275.98367	0.91
238	217.10554	0.94
239	217.01387	0.97
240	240.98659	0.97
241	256.95917	0.97
242	178.9449	0.98
243	275.98413	1.08
244	137.08233	1.24
245	166.12278	1.26
246	254.0475	1.32
247	173.07943	1.49
248	254.0464	1.52
249	217.10612	1.55
250	254.04719	1.57
251	254.04776	1.6
252	173.08024	1.6
253	254.04645	1.62
254	173.0795	1.67
255	254.04767	1.71
256	190.08589	1.74
